object_name,luminosity,star_color,koi_pdisposition,koi_disposition
Kepler-227 b,2.6242432895868476e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-227 c,2.6242432895868476e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.0494334099630672e+26,Yellow,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,2.450346325013247e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-664 b,4.9921346442336804e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-228 d,4.353822391413423e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-228 c,4.353822391413423e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-228 b,4.353822391413423e+26,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.987954523218907e+27,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-229 c,1.5888195723760904e+26,Orange,CANDIDATE,CONFIRMED
Kepler-1 b,3.677152265720599e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-2 b,2.2603136277511261e+27,Yellow-white,CANDIDATE,CONFIRMED
Kepler-8 b,1.0903297329162905e+27,Yellow-white,CANDIDATE,CONFIRMED
Kepler-466 c,4.1699927958424326e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.7968622234840235e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.0314289225778993e+26,Orange,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,4.3303149798977695e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,1.5011155259017841e+26,Orange,FALSE POSITIVE,FALSE POSITIVE
Kepler-660 b,9.289638174980769e+25,Orange,CANDIDATE,CONFIRMED
Kepler-661 b,6.599017355040172e+25,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.4331360697466074e+26,Orange,FALSE POSITIVE,FALSE POSITIVE
Kepler-226 c,2.064160366044249e+26,Orange,CANDIDATE,CONFIRMED
Kepler-226 b,2.064160366044249e+26,Orange,CANDIDATE,CONFIRMED
Kepler-226 d,2.064160366044249e+26,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,8.127543369893996e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-662 b,1.4241321471077913e+26,Orange,CANDIDATE,CONFIRMED
Kepler-663 b,2.0103520238023423e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-671 b,2.416660675890065e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.53880063996869e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,3.0940615863106217e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
OBJECT NAME WASN'T RECORDED,5.8495160459158974e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-672 b,3.340598843822737e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-229 d,1.5888195723760904e+26,Orange,CANDIDATE,CONFIRMED
Kepler-229 b,1.5888195723760904e+26,Orange,CANDIDATE,CONFIRMED
Kepler-665 b,1.4883650092992899e+26,Orange,CANDIDATE,CONFIRMED
Kepler-230 b,2.138331903157161e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-230 c,2.138331903157161e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-1976 b,4.298064454674647e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,2.7096944667402023e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-666 b,4.4106062702996047e+26,Yellow-white,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,5.304339179764158e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-105 b,4.545016596260207e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-667 b,3.373207055252146e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-668 b,2.088736822563909e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-669 b,6.0965358620893166e+26,Yellow-white,CANDIDATE,CONFIRMED
Kepler-670 b,2.9457849313241552e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.1060276574658975e+26,Orange,FALSE POSITIVE,FALSE POSITIVE
Kepler-680 b,3.4666786275749306e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-232 b,3.787552278961226e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-232 c,3.787552278961226e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-681 b,1.3894581788709123e+26,Orange,CANDIDATE,CONFIRMED
Kepler-106 c,4.147988128385031e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-105 c,4.545016596260207e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,4.387099712924795e+26,Yellow-white,FALSE POSITIVE,FALSE POSITIVE
Kepler-52 c,3.780356293705266e+25,Orange,CANDIDATE,CONFIRMED
Kepler-52 b,3.780356293705266e+25,Orange,CANDIDATE,CONFIRMED
Kepler-52 d,3.780356293705266e+25,Orange,CANDIDATE,CONFIRMED
Kepler-673 b,2.0609411867065465e+26,Yellow,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.8504536999991997e+26,Yellow,CANDIDATE,CANDIDATE
Kepler-674 b,3.2508546694115407e+25,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,3.209756126143992e+26,Yellow,FALSE POSITIVE,FALSE POSITIVE
Kepler-675 b,1.266498865016917e+26,Orange,CANDIDATE,CONFIRMED
OBJECT NAME WASN'T RECORDED,1.266498865016917e+26,Orange,CANDIDATE,CANDIDATE
OBJECT NAME WASN'T RECORDED,4.545016596260207e+26,Yellow,CANDIDATE,CANDIDATE
Kepler-676 b,1.427419214047637e+25,Red,CANDIDATE,CONFIRMED
Kepler-677 b,4.348559425431177e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-678 b,2.3464447354081427e+26,Yellow,CANDIDATE,CONFIRMED
Kepler-231 c,2.9881645360922173e+25,Orange,CANDIDATE,CONFIRMED
Kepler-231 b,2.9881645360922173e+25,Orange,CANDIDATE,CONFIRMED
Kepler-679 b,1.8499062568475003e+26,Yellow,CANDIDATE,CONFIRMED
